"DOI";"Title";"Abstract";"Date";"Link";"CitationCount";"Label"
"10.1016/j.jclepro.2024.144326";"High-efficiency regeneration of spent LiCoO2 battery by constructing a layer intermediate ";" Lithium-ion batteries have been widely used given the rapid development of intelligent communication devices and new energy vehicles in the 21st century. The recycling of spent lithium-ion batteries has emerged as a pressing environmental concern. The regeneration of cathode materials has garnered widespread attention as the most promising approach for the recovery of lithium cobalt oxide (LCO). However, the significant impact of phase transformation layers on the regeneration efficiency of LCO has been rarely addressed. In this study, we investigated the effects of phase transformation layers on the relithiation process, demonstrating that the phase transformation layers structure impedes lithium-ion transport along its primary pathways. We further proposed using layered hydroxide oxides as structural intermediates to reconstruct the phase transformation layers on the surface of spent LCO materials. This approach mitigates the negative effects of phase transformation layers, promoting lithium-ion transport. The regenerated materials processed through this method exhibited a specific capacity after 100 cycles that was 139% of that achieved by directly regenerated materials. These results validate the method's effectiveness in enhancing the recovery efficiency and regeneration capability of spent materials. ";"2024-12-15";"https://www.sciencedirect.com/science/article/pii/S0959652624037752";"0";"Batteries"
"10.1016/j.jclepro.2024.144298";"Environmental impact analysis of potassium-ion batteries based on the life cycle assessment: A comparison with lithium iron phosphate batteries ";" Potassium-ion batteries are being considered as a potential alternative to lithium-ion batteries due to their environmental friendliness and lack of dependence on scarce materials. However, it is currently unknown how their environmental impacts compare to that of LiFePO4 batteries. This study establishes a comprehensive and transparent life cycle inventory of four different types of potassium-ion batteries and presents a prospective cradle-to-grave life cycle assessment of these batteries. Potassium-ion batteries are found to be promising from a comprehensive life cycle perspective, particularly for KFeSO4F batteries. In terms of battery manufacturing, the utilization of aluminum foil as an anode collector allows the human non-carcinogenic toxicity and mineral resource scarcity values of potassium-ion batteries (except for KVPO4F batteries) to be only 15% and 24% of those of LiFePO4 batteries. However, the relatively lower energy density of potassium-ion batteries results in a less favorable performance than LiFePO4 batteries in the global warming and fossil resource scarcity categories. Furthermore, the environmental impacts for potassium-ion batteries arising from electricity losses in the use phase account for a significant portion of the entire system, contributing on average 59%, 52% and 48% to the global warming, fossil resourcing scarcity, and terrestrial acidification categories, respectively. For both potassium-ion and LiFePO4 batteries, the recovery of certain materials makes the hydrometallurgical recycling process have a positive environmental effect. Sensitivity analyses highlight the pivotal role of enhanced energy density and cycle life in the prospective advancement of potassium-ion batteries. This work provides a theoretical basis for future potassium-ion battery research. ";"2024-12-10";"https://www.sciencedirect.com/science/article/pii/S0959652624037478";"1";"Batteries"
"10.1016/j.jclepro.2024.144199";"Investigating the environmental impacts of lithium-oxygen battery cathode production: A comprehensive assessment of the effects associated with oxygen cathode manufacturing ";" Lithium-oxygen batteries offer remarkably high energy density compared to current lithium-ion batteries. The key to their electrochemical performance lies in the processes occurring at the air cathode. However, the complexity of these reactions, coupled with the by-products generated during discharge, can make the reaction process slow or impede their efficiency. This study evaluates the environmental impact of high-efficiency lithium-oxygen batteries cathodes, including titanium oxide composites, graphene-based composites and activated carbon-based composites, through a life cycle assessment across 18 impact categories using a cradle-to-gate approach with a functional unit of 25 kWh. Results show that active material production was the largest contributor to environmental impact, particularly Global Warming Potential. Among the evaluated cathodes, reduced graphene oxide/α-mnaganese oxide/palladium (rGO/α-MnO2/Pd) demonstrated the highest environmental impact, with a global warming potential of 1130.71 kg carbon dioxide from active material production, due to its energy-intensive synthesis and the use of chemicals like sulfuric acid, sodium borohydride, hydrochloric acid, and hydrogen peroxide. Additionally, the rGO/α-MnO2/Pd cathode had the highest Human Toxicity Potential and Ozone Depletion Potential. Batteries with graphene-based cathodes achieved a specific capacity of 7500 mAh.g−1, underscoring their performance potential while highlighting the need for more sustainable cathode manufacturing methods. These findings emphasize the environmental considerations necessary for large-scale lithium-oxygen batteries implementation. ";"2024-12-01";"https://www.sciencedirect.com/science/article/pii/S0959652624036485";"3";"Batteries"
"10.1016/j.jclepro.2024.144037";"Investigating context-specific factors for the development of circular business models for end-of-life electric vehicle lithium batteries in Australia";"Considering the rapid adoption of lithium batteries in electric vehicles (EV), several tonnes of lithium batteries are expected to reach end-of-life in the coming years. These batteries, if disposed in landfill, presents concerns to the environment and human health. Moreover, end-of-life EV lithium batteries still retain a certain extent of their initial capacity. Hence, a circular economy (CE) approach has been proposed as a possible solution to overcome these challenges. Effective circular business models play a vital role for the adoption of circular practices throughout the industry considering the development of such models are context specific. Therefore, this research aims to explore and investigate context-specific factors required to develop a circular business model for end-of-life EV lithium batteries in Australia. This study applies an inductive approach drawing from themes arising from semi-structured interviews of five stakeholder groups related to the EV lithium battery industry. The level of influence of government policies, knowledge and understanding of CE, and the dependence on EU and other nations were found to influence the EV battery industry. Particularly, the findings suggest the knowledge of ‘how to be involved in CE initiatives’ was lacking and should be given importance. Therefore, the importance of collaboration not only between government and industry but also involving academics and research institutions is highlighted. Based on these contextual factors, implementing the 10R strategy relative to the prevalent 3R or 4R strategy for the development and classification of circular business models for end-of-life EV lithium batteries in Australia is suggested. Academic contributions and managerial implications followed by recommendations to policy makers are provided.";"2024-11-25";"https://www.sciencedirect.com/science/article/pii/S0959652624034863";"1";"Batteries"
"10.1016/j.jclepro.2024.144103";"In the clash between consumer green values and company green values, who will win? The role of greenwashing and involvement in environmental campaigns on social media ";" While studies have focused on exploring the implications of greenwashing, specifically its impact on customer behavior, scant research has considered the origins and precursors of perceived greenwashing, especially from the perspective of customers' environmental values. This study examined links between customers' environmental beliefs, awareness of sustainable development goals (SDGs), personal responsibility, and perceived greenwashing. The study also examined the moderating role of involvement in environmental campaigns on social media on the link between perceived greenwashing and company outcomes (i.e. perceived company green value and brand attachment). Data were gathered from customers of battery products in China. Path analyses and group analyses were conducted to test hypotheses. The main findings showed that customers’ green values enhanced perceptions of greenwashing, which further reduced perceived company green value and brand attachment. The negative link between perceived greenwashing and company outcomes was stronger among customers who reported involvement in environmental campaigns on social media. ";"2024-11-15";"https://www.sciencedirect.com/science/article/pii/S0959652624035522";"2";"Batteries"
"10.1016/j.jclepro.2024.144056";"Electric vehicles charging infrastructure framework using internet of things ";" Electric vehicles (EVs) sales have grown rapidly recently, and more growth is expected over the coming years. A challenging problem arises when managing different battery requirements of moving EVs through reliable Charging Stations (CSs). Current concerns for EV users are long waiting lines at CSs and dropping below a predefined battery capacity limit. For this reason, this paper proposes an Internet of Things (IoT)-based EV charging scheduling system, which with the use of IoT technologies, decides the optimal assignment between EVs and Charging Points (CPs) located at different CSs at given time t. By using cloud computing and real time data such as number of EVs, number of CSs, number of CPs at different CSs … etc; the scheduling controller uses a recursive algorithm to generate all possible scenarios, and then shares the optimal assignment (that minimizes the average waiting time and fulfill battery constraints and charging needs) with all EVs. To test the validity of the IOT based scheduling system, sensitivity analysis by running different scenarios (pertaining to different parameters) was conducted. The different scenarios were compared to a base scenario where the system was not used and real-life random assignment is considered. The different run scenarios show superiority over the base scenario in terms of average waiting time (WT) and battery capacity threshold. For example, in the base scenario, violation of battery capacity threshold occurred 9.1% of the time, making random selection an unreliable choice versus no violations when the IOT scheduling system is used. Also, all tested scenarios under the IOT scheduling system show shorter average WT compared to the base scenario. For instance, scenarios 2 and 3 show more than 35% and 55% decrease in WT compared to the base scenario. ";"2024-11-15";"https://www.sciencedirect.com/science/article/pii/S0959652624035054";"0";"Batteries"
"10.1016/j.jclepro.2024.144020";"Recycling primary batteries into advanced graphene flake-based multifunctional smart textiles for energy storage, strain sensing, electromagnetic interference shielding, antibacterial, and deicing applications ";" Batteries are extensively used owing to their pivotal role in energy storage. However, their adverse environmental impact remains a significant challenge. The prevailing technologies for treating and handling battery waste are remarkably complex and expensive, highlighting the urgent need to upcycle spent battery materials into valuable resources to mitigate their environmental footprint. To that end, this paper reports a scheme for recycling graphite rods and Zn from Zn–C batteries. In this approach, polymeric composites synthesized using graphene flakes extracted from the graphite rods of spent batteries are used to fabricate multifunctional cotton textiles, and the outer Zn case of the spent batteries is employed as a Zn anode in energy storage devices. The synthesized multifunctional fabric shows excellent energy storage performance, particularly in Zn-ion hybrid supercapacitors, achieving a specific capacitance of 140 F g−1 at a scan rate of 0.5 A g−1; an electromagnetic interference shielding efficiency of ∼48 dB; wearable sensing capabilities for human motion detection; and Joule heating behavior for deicing. Moreover, the fabric exhibits remarkable antibacterial efficiency, with an approximately 27-mm-wide inhibition zone against both Gram-positive and Gram-negative bacteria. The “waste-to-wonder” strategy presented herein holds promise for environmental protection and innovative multifunctional textile fabrication. ";"2024-11-10";"https://www.sciencedirect.com/science/article/pii/S0959652624034693";"4";"Batteries"
"10.1016/j.jclepro.2024.144078";"Design and assessment of sustainable spent automobile lithium-ion battery industries in Japan: A system dynamic business model approach ";" An increasing number of used automobile lithium-ion batteries (LIBs) require appropriate treatment, such as disposal as solid waste, recycling of materials, or repurposing as second-life LIBs, to avoid undesired environmental consequences. However, the economic feasibility of these treatments affects industrial development. We propose a system dynamics business model (SDBM) as a novel approach for forecasting the economic impact of the industry in Japan, which provides comprehensive quantitative and qualitative assessments. We designed three business models (BMs): repurposing, recycling, and circular production. Repurposing BM extends the lifespan of LIBs by encouraging battery owners and collectors to engage in the second-life LIB market. Recycling BM supports recyclers in determining cost-effective recycling technologies. Circular production BM provides a policy analysis to the government. We elucidate the anticipated benefits to stakeholders involved in BMs. If all stakeholders have community interests, a circular economy for automobile LIB recycling can be realized without government subsidies. ";"2024-11-10";"https://www.sciencedirect.com/science/article/pii/S0959652624035273";"1";"Batteries"
"10.1016/j.jclepro.2024.143934";"A bottom-up framework to investigate environmental and techno-economic aspects of lithium-ion batteries: A case study of conventional vs. pre-lithiated lithium-ion battery cells";"As per-lithiation emerges as a promising technology for the next generation of lithium-ion battery cells, aimed at enhancing energy density and cycle life, it is crucial to evaluate its technological, production cost, and environmental impacts on an industrial scale. In this study, we developed a cradle-to-gate process-based model framework using LiNi0.8Mn0.1Co0.1O2 (NMC811)/Graphite as a reference cell to propose industrial-scale roll-to-roll direct contact pre-lithiation method for NMC811/Prelithiated-Graphite (prGr) and NMC811/Prelithiated-Graphite-Silicon (prGrSi) cells. Our findings indicate that pre-lithiated cells exhibit a gravimetric energy density increase of approximately 11%–27% compared to the baseline of 288 Wh.kg−1. This improvement could offset or even reduce the environmental impacts associated with the additional lithium foil component inserted into the cell during production. Economically, our analysis underscores the significant influence of lithium foil unit price, which is a critical factor in the overall cost of this technology, and a stable material market is crucial for its success. Overall, the investigation into environmental and economic aspects suggests that the prospects for industrialization and adoption are more promising than challenging in the near term.";"2024-11-01";"https://www.sciencedirect.com/science/article/pii/S0959652624033833";"2";"Batteries"
"10.1016/j.jclepro.2024.143934";"A bottom-up framework to investigate environmental and techno-economic aspects of lithium-ion batteries: A case study of conventional vs. pre-lithiated lithium-ion battery cells";"As per-lithiation emerges as a promising technology for the next generation of lithium-ion battery cells, aimed at enhancing energy density and cycle life, it is crucial to evaluate its technological, production cost, and environmental impacts on an industrial scale. In this study, we developed a cradle-to-gate process-based model framework using LiNi0.8Mn0.1Co0.1O2 (NMC811)/Graphite as a reference cell to propose industrial-scale roll-to-roll direct contact pre-lithiation method for NMC811/Prelithiated-Graphite (prGr) and NMC811/Prelithiated-Graphite-Silicon (prGrSi) cells. Our findings indicate that pre-lithiated cells exhibit a gravimetric energy density increase of approximately 11%–27% compared to the baseline of 288 Wh.kg−1. This improvement could offset or even reduce the environmental impacts associated with the additional lithium foil component inserted into the cell during production. Economically, our analysis underscores the significant influence of lithium foil unit price, which is a critical factor in the overall cost of this technology, and a stable material market is crucial for its success. Overall, the investigation into environmental and economic aspects suggests that the prospects for industrialization and adoption are more promising than challenging in the near term.";"2024-11-01";"https://www.sciencedirect.com/science/article/pii/S0959652624033833";"2";"Batteries"
